"class","category"
DummyForGlobalFunctions.CopyIndex(),"Method"
DummyForGlobalFunctions.CopyIndexAfterObject(),"Method"
DummyForGlobalFunctions.CopyProperties(ProblemType &,ProblemType *,void *),"Method"
DummyForGlobalFunctions.CopyToNative(),"Method"
DummyForGlobalFunctions.CopyUTF16toUTF8(),"Method"
DummyForGlobalFunctions.CopyUTF8toUTF16(),"Method"
DummyForGlobalFunctions.CopyUpdaterIntoUpdateDir(ProblemType *,ProblemType *,ProblemType *,ProblemType &),"Method"
DummyForGlobalFunctions.Count(),"Method"
DummyForGlobalFunctions.Create(),"Method"
DummyForGlobalFunctions.CreateBundle(),"Method"
DummyForGlobalFunctions.CreateContinuationFor(),"Method"
DummyForGlobalFunctions.CreateContinuingFrame(),"Method"
DummyForGlobalFunctions.CreateFontGroup(),"Method"
DummyForGlobalFunctions.CreateNextInFlow(),"Method"
DummyForGlobalFunctions.CreatePPLineMap(),"Method"
DummyForGlobalFunctions.CreateSession(),"Method"
DummyForGlobalFunctions.CreateSpaceManagerFor(),"Method"
DummyForGlobalFunctions.CreateView(),"Method"
DummyForGlobalFunctions.CreateViewAndWidget(),"Method"
DummyForGlobalFunctions.CreateWidget(),"Method"
DummyForGlobalFunctions.Creds(),"Method"
DummyForGlobalFunctions.CurrentPCForStack(),"Method"
DummyForGlobalFunctions.CurrentPresShellState(),"Method"
DummyForGlobalFunctions.DER_Lengths(),"Method"
DummyForGlobalFunctions.DISPLAY_MIN_WIDTH(),"Method"
DummyForGlobalFunctions.DISPLAY_PREF_WIDTH(),"Method"
DummyForGlobalFunctions.DISPLAY_REFLOW(),"Method"
DummyForGlobalFunctions.DOUBLE_TO_JSVAL(),"Method"
DummyForGlobalFunctions.DO_GLOBAL_REFLOW_COUNT(),"Method"
DummyForGlobalFunctions.DO_OP(),"Method"
DummyForGlobalFunctions.DebugAbort(),"Method"
DummyForGlobalFunctions.DecompileValueGenerator(),"Method"
DummyForGlobalFunctions.DefineProperty(ProblemType *,ProblemType *,char *,ProblemType,ProblemType,ProblemType,ProblemType,ProblemType,ProblemType),"Method"
DummyForGlobalFunctions.DefinePropertyById(ProblemType *,ProblemType *,ProblemType,ProblemType,ProblemType,ProblemType,ProblemType,ProblemType,ProblemType),"Method"
DummyForGlobalFunctions.DefineUCProperty(ProblemType *,ProblemType *,ProblemType *,ProblemType,ProblemType,ProblemType,ProblemType,ProblemType,ProblemType,ProblemType),"Method"
DummyForGlobalFunctions.Delete(),"Method"
DummyForGlobalFunctions.DeleteAll(),"Method"
DummyForGlobalFunctions.DeleteLine(),"Method"
DummyForGlobalFunctions.DeleteNextInFlowChild(),"Method"
DummyForGlobalFunctions.DeleteRecorder(),"Method"
DummyForGlobalFunctions.Describe(),"Method"
DummyForGlobalFunctions.Destroy(),"Method"
DummyForGlobalFunctions.DestroyFrame(),"Method"
DummyForGlobalFunctions.DestroyFrames(),"Method"
DummyForGlobalFunctions.DestroyOverflowLines(void *,nsIAtom *,void *,void *),"Method"
DummyForGlobalFunctions.DetermineStoragePolicy(),"Method"
DummyForGlobalFunctions.DidEndTransaction(),"Method"
DummyForGlobalFunctions.DidReflow(),"Method"
DummyForGlobalFunctions.DispatchIncall(),"Method"
DummyForGlobalFunctions.DisplayBorderBackgroundOutline(),"Method"
DummyForGlobalFunctions.DisplayLine(ProblemType *,ProblemType &,ProblemType &,ProblemType &,ProblemType,ProblemType &,ProblemType &,ProblemType *),"Method"
DummyForGlobalFunctions.DisplayOverflowContainers(),"Method"
DummyForGlobalFunctions.DisplayTextDecorations(),"Method"
DummyForGlobalFunctions.DoAuthRetry(),"Method"
DummyForGlobalFunctions.DoNotifyListener(),"Method"
DummyForGlobalFunctions.DoReflowInlineFrames(),"Method"
DummyForGlobalFunctions.DoRemoveFrame(),"Method"
DummyForGlobalFunctions.DoRemoveOutOfFlowFrame(),"Method"
DummyForGlobalFunctions.DoReplaceWithProxy(),"Method"
DummyForGlobalFunctions.DoWalk(),"Method"
DummyForGlobalFunctions.Domain(),"Method"
DummyForGlobalFunctions.Doom(),"Method"
DummyForGlobalFunctions.DrainOverflowLines(),"Method"
DummyForGlobalFunctions.Draw(),"Method"
DummyForGlobalFunctions.DumpLine(ProblemType &,ProblemType *,ProblemType,ProblemType),"Method"
DummyForGlobalFunctions.DumpRPCStack(),"Method"
DummyForGlobalFunctions.ElementAt(),"Method"
DummyForGlobalFunctions.EmitAtomOp(ProblemType *,ProblemType *,ProblemType,ProblemType *),"Method"
DummyForGlobalFunctions.EmitBackPatchOp(ProblemType *,ProblemType *,ProblemType,ProblemType *),"Method"
DummyForGlobalFunctions.EmitBigIndexPrefix(ProblemType *,ProblemType *,ProblemType),"Method"
